state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
NV  ,KJd,KJd,KJd;0,NVKJd;0,0,,Diorite,Jurassic to Cretaceous,,,This unit includes both non-quartz and quartz diorite; non-quartz diorite appears more widespread though both are almost equally represented.,NV001,diorite,quartz diorite,gabbro; granite; granodiorite; serpentinite,NV001 NV002 NV005 NV008 NV009 NV013 NV016 ,
NV  ,Qa,Qa,Qa;0,NVQa;0,0,,Alluvial deposits,Quaternary,ALLUVIAL DEPOSITS-Locally includes beach and sand dune deposits,,,NV001,alluvium,mass wasting,dune sand; lake or marine deposit (non-glacial),NV001 NV003 NV004 NV005 NV006 NV007 NV008 NV009 NV010 NV011 NV012 NV013 NV016 NV017 NV019 NV020 ,
NV  ,Jgr,Jgr,Jgr;0,NVJgr;0,0,,Granitic rocks,Jurassic,GRANITIC ROCKS-Mostly quartz monzonite and granodiorite,,,NV001,quartz monzonite,granodiorite,granite; monzonite; quartz diorite; peraluminous granite,NV001 NV002 NV004 NV005 NV007 NV008 NV009 NV010 NV012 NV013 NV019 ,
NV  ,TKsu,TKsu,TKsu;0,NVTKsu;0,0,,Continental sedimentary rocks,Late Cretaceous to Early Miocene,CONTINENTAL SEDIMENTARY ROCKS-Clark County,"Gale Hills Formation, Horse Spring Formation",,NV001,sandstone,conglomerate,siltstone; mudstone; limestone; felsic volcanic rock,NV001 NV002 ,
NV  ,Trt,Trt,Trt;0,NVTrt;0,0,,"Ash-flow tuffs, rhyolitic flows, and shallow intrusive rocks",Middle Miocene to Late Miocene,"ASH-FLOW TUFFS, RHYOLITIC FLOWS, AND SHALLOW INTRUSIVE ROCKS",,,NV001,rhyolite,dacite,trachyte,NV001 NV002 ,
NV  ,Ts2,Ts2,Ts2;0,NVTs2;0,0,,Tuffaceous sedimentary rocks,Early Oligocene to Early Miocene,TUFFACEOUS SEDIMENTARY ROCKS-Locally includes minor amounts of tuff,,Mostly unnamed units interbedded with volcanic rocks,NV001,sandstone,siltstone,limestone; conglomerate; mudstone; debris flow; landslide; tuff,NV001 NV002 ,
NV  ,Ygr,Ygr,Ygr;0,NVYgr;0,0,,Granitic rocks,Middle Proterozoic,GRANITIC ROCKS-Porphyritic rapakivi granite.,,"This granite is a highly distinctive rock of pink orthoclase mantled by plagioclase and containing large phenocrysts, 12 to 25 cm across (Stewart, 1980). Granite in South Virgin Mountains may also be referred to as Gold Butte Granite of Longwell (1936) in literature (Longwell and others, 1965).",NV001,granite,,,NV001 NV002 NV003 ,
NV  ,water,water,water;0,NVwater;0,0,,water,Holocene,water,,,NV001,water,,,NV001 ,
NV  ,Qm,Qm,Qm;0,NVQm;0,0,,Morainal deposits,Quaternary,MORAINAL DEPOSITS,,,NV001,glacial drift,,,NV001 NV005 NV008 NV009 NV017 ,
NV  ,Ta3,Ta3,Ta3;0,NVTa3;0,0,,Andesite and related rocks of intermediate composition,Late Miocene to Middle Miocene,ANDESITE AND RELATED ROCKS OF INTERMEDIATE COMPOSITION-Flows and breccias,,,NV001,andesite,latite,trachyte; dacite,NV001 NV002 NV027 ,
