idx,latitude,longitude,formation,prob,pct_rank,correct
0,40.133331,-118.300003,Prida,0.381966147454441,98.37067209775967,True
1,38.487,-118.083,Gabbs,0.5899127778086654,99.59266802443992,True
2,38.431946,-118.04583,Luning,0.027855778878519744,88.79837067209776,False
3,38.402,-118.016998,Luning,0.08467231981016721,89.10386965376782,False
4,40.548058,-118.099998,,0.0,0.0,False
5,38.876667,-117.591393,Luning,0.07222992354792028,89.5112016293279,False
6,40.059166,-117.558891,Favret,0.051775710056334044,87.57637474541752,False
7,40.224998,-117.633888,Favret,0.6829017850500781,100.0,True
8,40.048611,-117.53833,Favret,0.5985013559151685,99.59266802443992,True
9,40.405666,-118.136673,,0.5084106851127818,98.67617107942974,True
10,40.049999,-117.540001,Favret,0.7730894180626825,100.0,True
11,39.578609,-117.532784,,0.509966583535269,98.77800407331976,True
12,40.277779,-118.075836,Prida,0.11758812179266154,91.44602851323829,True
13,40.001389,-117.539444,Favret,0.019274662926834097,84.0122199592668,False
14,40.50861,-118.126663,Prida,0.5058504881004741,98.98167006109979,True
15,40.033333,-117.566666,Favret,0.7588734882612977,100.0,True
