rank,latitude,longitude,ml_probability,on_triassic,dist_to_triassic_m,formation_code,formation_name,rock_type,geo_bonus,composite_score,priority,tpi_15m,tpi_class,tpi_tier,slope_15m,ridge_area_km2
15,40.40472222168528,-118.24388888911248,0.80045837,False,52,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.2,1.0,1,130.12,RIDGE/UPLAND,X,52.3,20.47
27,40.20916666574369,-117.58777777729556,0.7951619,False,992,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8952,2,105.08,RIDGE/UPLAND,X,39.8,26.82
28,40.55027777752818,-118.23250000021132,0.7946049,False,1361,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8946,3,4.43,RIDGE/UPLAND,X,42.17,16.14
3,40.434444443966186,-117.68666666629083,0.84231639,False,4781,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8923,4,-24.43,BASIN FLOOR,1A,8.65,26.54
37,40.83972222254402,-117.72083333299425,0.79204267,False,1059,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.892,5,125.66,RIDGE/UPLAND,X,53.38,19.13
43,40.822777778066126,-117.69694444407966,0.78989953,False,1309,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8899,6,32.47,RIDGE/UPLAND,X,48.52,21.75
6,40.41888888837992,-117.70444444408771,0.83046496,False,3338,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8805,7,-32.95,BASIN FLOOR,1A,18.99,28.43
1,40.78722222244038,-117.45638888826534,0.85334641,False,13040,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8533,8,-53.85,BASIN FLOOR,1A,21.15,26.31
2,40.90722222267727,-118.46444444490528,0.85232025,False,41459,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8523,9,30.44,RIDGE/UPLAND,X,20.45,26.89
17,40.11305555444284,-117.20249999910334,0.79911894,False,4801,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8491,10,-9.1,LOWER SLOPE,1B,18.31,21.54
23,40.1391666656055,-117.47222222161572,0.79586679,False,3371,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8459,11,57.23,RIDGE/UPLAND,X,51.08,27.36
34,40.11305555444284,-117.20277777688142,0.79283285,False,4817,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8428,12,-9.53,LOWER SLOPE,1B,19.01,21.55
35,40.26527777696556,-117.47972222162376,0.79251772,False,4157,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8425,13,-52.48,BASIN FLOOR,1A,22.52,24.76
39,40.40111111056704,-117.2077777768868,0.79122305,False,2143,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8412,14,157.27,RIDGE/UPLAND,X,38.28,14.98
4,39.15916666367088,-118.86083333422056,0.83943707,False,124118,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8394,15,-39.36,BASIN FLOOR,1A,23.07,30.12
50,40.406388888355245,-117.70555555520004,0.78864872,False,2194,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8386,16,-12.83,BASIN FLOOR,1A,27.25,27.32
5,38.458888884510685,-118.39972222261343,0.83049053,False,148217,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8305,17,-54.74,BASIN FLOOR,1A,21.98,30.77
7,40.795555555790166,-117.45944444382418,0.82949549,False,14000,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8295,18,202.15,RIDGE/UPLAND,X,53.46,27.08
8,39.02416666340438,-118.77055555634568,0.82007194,False,126554,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8201,19,78.88,RIDGE/UPLAND,X,21.46,22.73
9,40.79527777801184,-117.45861111048995,0.8188923,False,13952,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8189,20,189.48,RIDGE/UPLAND,X,54.16,26.95
10,39.15916666367088,-118.86111111199864,0.81427044,False,124134,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8143,21,,,,,
11,40.77611111130734,-118.51138888940022,0.81180894,False,33005,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8118,22,,,,,
12,38.70111110721108,-118.78805555636453,0.80561513,False,149610,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8056,23,,,,,
13,38.7247222183688,-118.9436111120874,0.80345458,False,158109,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8035,24,,,,,
14,39.15916666367088,-118.86055555644248,0.80088222,False,124101,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8009,25,,,,,
16,39.81638888719053,-118.15750000013064,0.79985476,False,29976,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7999,26,,,,,
18,39.886111109550384,-118.9233333342878,0.79886627,False,73098,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7989,27,,,,,
19,40.79972222246506,-118.1402777778899,0.79732817,False,14464,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973,28,,,,,
20,39.18361110816358,-118.8083333341641,0.79725087,False,119056,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973,28,,,,,
21,38.43222221779138,-118.56666666723748,0.79610622,False,159055,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7961,30,,,,,
22,38.701388884989406,-118.79138888970142,0.79598647,False,149801,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.796,31,,,,,
24,40.09555555440829,-117.2455555547052,0.79563963,False,7060,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956,32,,,,,
25,38.458888884510685,-118.40000000039151,0.79558283,False,148230,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956,32,,,,,
26,39.65472222020471,-117.85888888869832,0.79540676,False,28718,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7954,34,,,,,
30,40.73444444455841,-118.79111111192336,0.79397529,False,51578,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.794,35,,,,,
29,40.751111111257984,-117.50916666609989,0.79402113,False,11544,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.794,35,,,,,
31,40.3719444438428,-117.57694444395058,0.7937991,False,6488,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7938,37,,,,,
32,39.1827777748286,-118.53250000053404,0.79341787,False,99885,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7934,38,,,,,
33,39.02388888562605,-118.771666667458,0.79313195,False,126652,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7931,39,,,,,
36,40.795555555790166,-117.4591666660461,0.79210216,False,13994,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7921,40,,,,,
38,39.728055553682815,-117.78694444417648,0.79169452,False,22199,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7917,41,,,,,
40,40.37166666606448,-117.57694444395058,0.79112983,False,6462,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7911,42,,,,,
41,40.74055555568159,-117.6313888884536,0.79059702,False,9897,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7906,43,,,,,
42,40.724722222317,-117.5219444438914,0.7904619,False,10438,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7905,44,,,,,
45,38.25277777299269,-118.36638888924423,0.78978586,False,166378,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898,45,,,,,
44,38.458888884510685,-118.39944444483535,0.78983712,False,148203,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898,45,,,,,
46,38.57583332918599,-118.40527777817496,0.78896171,False,137859,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.789,47,,,,,
47,39.22138888601594,-118.3586111114581,0.78885204,False,84747,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7889,48,,,,,
48,39.696944442510286,-117.85222222202448,0.78882098,False,28188,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7888,49,,,,,
49,40.79583333356849,-117.4591666660461,0.78878969,False,14024,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7888,49,,,,,
