occurrence_id,prob,correct,submodel
occ:361674,0.986,1,north_rf
occ:467069,0.986,1,north_rf
occ:467070,0.986,1,north_rf
occ:467071,0.986,1,north_rf
occ:467073,0.986,1,north_rf
occ:467074,0.986,1,north_rf
occ:906286,0.973,1,north_rf
occ:906287,0.973,1,north_rf
occ:906313,0.614,1,north_rf
occ:906314,0.614,1,north_rf
occ:908660,0.69,1,north_rf
occ:908661,0.309,0,north_rf
occ:909076,0.468,0,north_rf
occ:934002,0.176,0,north_rf
occ:1095497,0.111,0,north_rf
occ:1186493,0.396,0,north_rf
occ:1412645,0.69,1,north_rf
occ:1412647,0.69,1,north_rf
occ:1417529,0.114,0,north_rf
occ:1419019,0.399,0,north_rf
occ:1419160,0.184,0,north_rf
occ:1504406,0.634,1,north_rf
occ:1583679,0.977,1,north_rf
occ:714514,0.277,0,south_rf
occ:900174,0.662,1,south_rf
occ:900219,0.662,1,south_rf
occ:900302,0.016,0,south_rf
occ:908629,0.882,1,south_rf
occ:1419479,0.882,1,south_rf
occ:1419480,0.882,1,south_rf
occ:714514,0.009,0,south_svm
occ:900174,0.425,0,south_svm
occ:900219,0.425,0,south_svm
occ:900302,0.007,0,south_svm
occ:908629,0.469,0,south_svm
occ:1419479,0.469,0,south_svm
occ:1419480,0.469,0,south_svm
