rank,latitude,longitude,ml_probability,on_triassic,dist_to_triassic_m,formation_code,formation_name,rock_type,geo_bonus,composite_score,priority,elevation_m,slope_deg,aspect_deg,tri,tpi_15m,tpi_adj,composite_v2,rank_v2,rank_v1,rank_delta,tpi,v3_score,submodel,v3_rank
35,40.26527777696556,-117.47972222162376,0.79251772,False,4157,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8425,13,1479.3582763671875,10.057173728942871,172.0156707763672,10.909027099609375,-14.74853515625,0.1,0.9425,5,13,8,-2.76220703125,0.6888300052172459,north,1
2,40.90722222267727,-118.46444444490528,0.85232025,False,41459,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8523,9,1439.244384765625,10.256857872009277,182.51080322265625,12.400833129882812,0.89453125,0.0,0.8523,16,9,-7,-2.0902099609375,0.6598553026034201,north,2
15,40.40472222168528,-118.24388888911248,0.80045837,False,52,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.2,1.0,1,1754.1416015625,22.32767105102539,213.54208374023438,26.0352783203125,125.2650146484375,-0.05,0.95,4,1,-3,18.2081298828125,0.6077302355764757,north,3
24,40.09555555440829,-117.2455555547052,0.79563963,False,7060,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956,32,1537.760009765625,11.168522834777832,177.4915008544922,13.029327392578125,-22.9644775390625,0.1,0.8956,8,32,24,3.9185791015625,0.5949008728041186,north,4
50,40.406388888355245,-117.70555555520004,0.78864872,False,2194,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8386,16,1551.619140625,15.07251262664795,181.75851440429688,18.492874145507812,-2.7227783203125,0.0,0.8386,21,16,-5,0.86083984375,0.553001155319836,north,5
18,39.886111109550384,-118.9233333342878,0.79886627,False,73098,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7989,27,1415.1259765625,12.792007446289062,182.23870849609375,15.60028076171875,-2.10302734375,0.0,0.7989,30,27,-3,1.9603271484375,0.537850299747842,north,6
1,40.78722222244038,-117.45638888826534,0.85334641,False,13040,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8533,8,1426.7152099609375,9.321673393249512,184.9842529296875,10.520233154296875,-65.361328125,0.1,0.9533,3,8,5,-0.014404296875,0.5211173798428431,north,7
27,40.20916666574369,-117.58777777729556,0.7951619,False,992,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8952,2,1754.248779296875,23.28437042236328,166.8796844482422,27.94036865234375,-1.3453369140625,0.0,0.8952,10,2,-8,-1.0018310546875,0.5166671169896062,north,8
39,40.40111111056704,-117.2077777768868,0.79122305,False,2143,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8412,14,1688.31689453125,21.752952575683594,203.1517333984375,27.938095092773438,61.7457275390625,-0.05,0.7911999999999999,44,14,-30,1.0032958984375,0.5150851399460914,north,9
26,39.65472222020471,-117.85888888869832,0.79540676,False,28718,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7954,34,1683.421875,30.75369644165039,232.339599609375,36.390777587890625,-117.1907958984375,0.0,0.7954,38,34,-4,-3.083740234375,0.5039518110831852,north,10
