priority,latitude,longitude,ml_probability,dist_to_triassic_m,formation_code,formation_name,rock_type,geo_bonus,composite_score
1,40.40472222168528,-118.24388888911248,0.80045837,52,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.2,1.0
2,40.20916666574369,-117.58777777729556,0.7951619,992,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8952
3,40.55027777752818,-118.23250000021132,0.7946049,1361,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8946
4,40.434444443966186,-117.68666666629083,0.84231639,4781,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8923
5,40.83972222254402,-117.72083333299425,0.79204267,1059,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.892
6,40.822777778066126,-117.69694444407966,0.78989953,1309,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8899
7,40.41888888837992,-117.70444444408771,0.83046496,3338,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8805
8,40.78722222244038,-117.45638888826534,0.85334641,13040,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8533
9,40.90722222267727,-118.46444444490528,0.85232025,41459,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8523
10,40.11305555444284,-117.20249999910334,0.79911894,4801,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8491
11,40.1391666656055,-117.47222222161572,0.79586679,3371,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8459
12,40.11305555444284,-117.20277777688142,0.79283285,4817,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8428
13,40.26527777696556,-117.47972222162376,0.79251772,4157,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8425
14,40.40111111056704,-117.2077777768868,0.79122305,2143,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8412
15,39.15916666367088,-118.86083333422056,0.83943707,124118,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8394
16,40.406388888355245,-117.70555555520004,0.78864872,2194,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8386
17,38.458888884510685,-118.39972222261343,0.83049053,148217,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8305
18,40.795555555790166,-117.45944444382418,0.82949549,14000,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8295
19,39.02416666340438,-118.77055555634568,0.82007194,126554,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8201
20,40.79527777801184,-117.45861111048995,0.8188923,13952,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8189
21,39.15916666367088,-118.86111111199864,0.81427044,124134,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8143
22,40.77611111130734,-118.51138888940022,0.81180894,33005,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8118
23,38.70111110721108,-118.78805555636453,0.80561513,149610,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8056
24,38.7247222183688,-118.9436111120874,0.80345458,158109,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8035
25,39.15916666367088,-118.86055555644248,0.80088222,124101,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8009
26,39.81638888719053,-118.15750000013064,0.79985476,29976,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7999
27,39.886111109550384,-118.9233333342878,0.79886627,73098,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7989
28,40.79972222246506,-118.1402777778899,0.79732817,14464,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973
28,39.18361110816358,-118.8083333341641,0.79725087,119056,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973
30,38.43222221779138,-118.56666666723748,0.79610622,159055,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7961
31,38.701388884989406,-118.79138888970142,0.79598647,149801,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.796
32,40.09555555440829,-117.2455555547052,0.79563963,7060,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956
32,38.458888884510685,-118.40000000039151,0.79558283,148230,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956
34,39.65472222020471,-117.85888888869832,0.79540676,28718,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7954
