occurrence_id,taxon_name,latitude,longitude,formation,source,coord_unc_m,institutioncode,order,in_nevada
occ:361674,Omphalosaurus nevadanus,40.133331,-118.300003,Prida,pbdb,,,,
occ:467069,Cymbospondylus,40.133331,-118.300003,Prida,pbdb,,,,
occ:467070,Cymbospondylus petrinus,40.133331,-118.300003,Prida,pbdb,,,,
occ:467071,Cymbospondylus natans,40.133331,-118.300003,Prida,pbdb,,,,
occ:467073,Phalarodon fraasi,40.133331,-118.300003,Prida,pbdb,,,,
occ:467074,Ichthyosauria,40.133331,-118.300003,Prida,pbdb,,,,
occ:714514,Ichthyosauria,38.487,-118.083,Gabbs,pbdb,,,,
occ:900174,Ichthyosaurus,38.431946,-118.04583,Luning,pbdb,,,,
occ:900219,Ichthyosaurus,38.431946,-118.04583,Luning,pbdb,,,,
occ:900302,Ichthyosaurus,38.402,-118.016998,Luning,pbdb,,,,
occ:906286,Ichthyosauria,40.0,-116.716667,,pbdb,,,,
occ:906287,Cymbospondylus piscosus,40.0,-116.716667,,pbdb,,,,
occ:906313,Cymbospondylus petrinus,40.548058,-118.099998,,pbdb,,,,
occ:906314,Chonespondylus grandis,40.548058,-118.099998,,pbdb,,,,
occ:908629,Shonisaurus popularis,38.876667,-117.591393,Luning,pbdb,,,,
occ:908660,Mixosaurus,40.059166,-117.558891,Favret,pbdb,,,,
occ:908661,Mixosaurus,40.224998,-117.633888,Favret,pbdb,,,,
occ:909076,Mixosaurus,40.048611,-117.53833,Favret,pbdb,,,,
occ:934002,Cymbospondylus petrinus,40.405666,-118.136673,,pbdb,,,,
occ:1095497,Thalattoarchon saurophagis,40.049999,-117.540001,Favret,pbdb,,,,
occ:1186493,Cymbospondylus nevadanus,39.578609,-117.532784,,pbdb,,,,
occ:1412645,Utatsusaurus,40.277779,-118.075836,Prida,pbdb,,,,
occ:1412647,Grippiidae,40.277779,-118.075836,Prida,pbdb,,,,
occ:1417529,Cymbospondylus nichollsi,40.001389,-117.539444,Favret,pbdb,,,,
occ:1419019,Omphalosaurus nettarhynchus,40.50861,-118.126663,Prida,pbdb,,,,
occ:1419160,Phalarodon callawayi,40.033333,-117.566666,Favret,pbdb,,,,
occ:1419479,Shonisaurus,38.876667,-117.591393,Luning,pbdb,,,,
occ:1419480,Shonisaurus,38.876667,-117.591393,Luning,pbdb,,,,
occ:1504406,Cymbospondylus duelferi,40.059166,-117.558891,Favret,pbdb,,,,
occ:1583679,Ichthyosauridae,41.272499,-114.306946,,pbdb,,,,
79149f74-b072-4380-aae3-72d14f67cf99,cymbospondylus,40.440358,-118.404438,favret formation,idigbio,96848.0,cmc,Ichthyosauria,True
a386bf1c-27c9-41d1-b649-bd1e2ccecf02,cymbospondylus,40.440358,-118.404438,favret formation,idigbio,96848.0,cmc,Ichthyosauria,True
619a1e01-22e0-4d5e-b7ce-4802e09b9fd4,cymbospondylus,40.440358,-118.404438,favret formation,idigbio,96848.0,cmc,Ichthyosauria,True
8d5806ea-9d07-4b4e-bf9e-151f852f6787,cymbospondylus,40.440358,-118.404438,favret formation,idigbio,96848.0,cmc,Ichthyosauria,True
34a637e3-d0b6-440d-976a-c7704ef7b340,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
c226ba55-1576-4eb6-b1ee-a6f974854e3f,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
0812682f-63ca-48da-8d99-b2e75c5cb0ff,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
7f0664b6-78e2-487f-8dc4-811e47da6d58,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
caefe4ae-975c-43ad-8193-b9ab47d12c93,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
e77a4baa-82d3-4b47-9aad-95e9745a42d6,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
24a84a5a-05b9-4562-97f7-195742e0edcf,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
dc50f745-6060-4f5b-ae8a-1bbc114473de,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
42bfe90d-60e9-4ff2-8199-10f00465e70b,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
bc5e0c37-4403-466c-b948-e993ce653569,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
5356dcbd-00b0-44a9-9aae-546687c5f168,cymbospondylus,38.661596,-116.866352,favret formation,idigbio,473748.0,cmc,Ichthyosauria,True
